rms_mean,rms_var,zero_crossing_rate_mean,zero_crossing_rate_var,tempo,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,perceptr_mean,perceptr_var,chroma_stft_mean,chroma_stft_var,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,tonnetz_mean,tonnetz_var,harmonic_ratio,pitch_std,mfcc_delta_mean,mfcc_delta_var,energy_score,tempo_var,beat_count,filename
0.19258289,0.0042392756,0.1108368203366873,0.003869535375022371,112.34714673913044,2611.590518673477,599686.1049944384,2858.001230437711,159594.91755008374,6111.6797101756,3121176.1462911363,0.021776527,0.0006824557,0.34794536,0.090509,-66.22604,3670.8228,85.77147,502.7246,12.909224,262.6538,21.85074,242.8657,13.728784,180.50664,-5.0157404,304.43338,7.359194,214.31734,1.1713717,118.1424,-3.8784792,101.45098,7.8614445,130.87033,-6.3715158,178.62103,2.203565,85.39282,-2.5943382,86.8173,0.5699032,78.879425,-5.879455,86.09813,-0.5625149,79.74412,-5.635463,85.26739,4.479036,91.37319,-4.652321,90.82989,3.8275604,128.68765,-0.021081890906394167,0.011745020921349469,0.006246832692891886,1045.3063,-0.001617364,10.904071,502.9476506047826,0.03592809965612011,56,"The Breakup Song - Pritam, Arijit Singh, Badshah, Jonita Gandhi & Nakash Aziz.mp3"
0.2818226,0.006972433,0.1587794631627322,0.005052702157610001,112.34714673913044,2929.6059142233994,566403.0134445323,2677.9044090073303,106804.21925074494,6110.8547151642315,1843751.9373094758,0.05385122,0.0023447615,0.46150056,0.07331138,28.299795,1829.072,73.3115,809.4217,-4.2753835,239.32643,27.578085,181.5153,0.7223691,89.96706,2.6917741,73.19253,-6.1035824,74.73857,7.670544,75.27797,-3.4723947,50.49104,5.911576,52.186676,-5.4916267,44.91991,7.225524,51.703964,-2.4085588,46.44981,1.6762304,41.484024,-2.078377,35.953114,0.32428926,39.036476,-3.605089,41.29739,0.68067825,46.3098,-4.8709044,49.409306,0.46300432,28.415611,-0.03636811302920192,0.024983184711243774,-0.06239530621351318,1102.7274,-0.011971387,4.571705,825.6291323436621,0.050710078920898106,54,"Fall To My Grave - SVRRIC, ruindkid & Silent Child.mp3"
0.27921927,0.007575182,0.061335985874613,0.0012373982540851258,107.666015625,1789.5578968735886,381619.7213216498,2380.5229580692203,219792.67770513034,3853.018367991728,2446414.6160721257,0.0064677936,0.00021938994,0.2899972,0.093690634,-72.59407,2355.7886,116.89067,672.66223,9.541037,245.13518,22.018997,226.95346,11.0577,210.8688,-0.21728015,266.63385,6.2017074,142.55647,-1.5344883,126.28598,-1.5635142,65.220955,6.7029223,65.915276,-3.840806,95.23084,2.3434227,59.253918,-7.6763797,58.09132,-0.78828317,52.161926,-6.559788,95.63555,5.4304757,88.57853,-5.9189816,106.29927,-2.9077303,105.20844,-0.23898925,161.59709,2.386951,108.45501,0.03194925588554686,0.024615786541124417,-4.871966228720933,775.22144,0.0019812197,7.929965,499.67904914486746,0.03285335814984744,50,"Chal Tere Ishq Mein - Mithoon, Neeti Mohan, Vishal Mishra, Shehnaz Akhtar & Sahil Akhtar.mp3"
0.36950707,0.010209534,0.10336634396768576,0.00274054262985314,143.5546875,2584.581262260857,449863.260129376,2673.311543729305,108477.81303766942,5612.02439818958,1821908.4725902716,0.028526796,0.0008293586,0.46190518,0.08139266,14.038442,3114.32,78.36084,651.51794,0.2501769,323.9783,25.681078,202.38287,1.9103532,139.63318,12.802512,106.662094,7.4954586,96.54579,7.1066337,109.59137,5.7409163,77.202934,9.132427,63.392017,0.124486536,57.46335,4.215094,46.512146,-5.139304,62.10235,6.976037,43.628357,-0.12973617,38.328903,7.5449142,50.572647,5.2123203,61.769615,7.833624,51.66965,-0.83619404,51.67525,2.1403022,50.028988,0.03207897940741352,0.011702819934699123,-0.0023764282701417487,1031.6542,0.00045281195,7.3760157,955.0210606535512,0.04077771891451031,72,Physical - Dua Lipa.mp3
0.41661498,0.021171473,0.0750278909878096,0.006240458515127592,103.359375,2474.0343768138127,1469268.7206810159,2567.9159854663376,429615.5905359783,5313.242871547262,5646764.040693735,0.017769704,0.0010763978,0.48302314,0.096457906,-58.71297,8658.384,72.431816,2392.5015,4.543735,1250.8239,34.000668,730.0132,14.003979,399.3341,6.515544,417.62634,8.02998,253.58817,7.4627275,157.68198,-5.637731,175.35075,7.8974156,123.18773,-0.30483055,132.89319,8.473873,81.850174,1.5222929,76.775795,3.0645845,85.27397,2.2269228,74.72567,2.8977625,57.34006,-2.4506576,49.06971,2.7348373,63.191967,0.31373766,66.529434,5.140729,57.717354,-0.01296662544729794,0.03348366037470849,0.03224664574827499,1126.6022,-0.013111896,21.978664,1030.7197811922854,0.0300573555724396,51,Lovin On Me - Jack Harlow.mp3
0.26368684,0.0129609415,0.07184952774284056,0.0036481786371997064,99.38401442307692,1856.5573599972033,689773.1643478819,2186.124963189929,259709.1673794661,3817.1602514875194,3012654.119841909,0.0091562,0.0003154595,0.34245455,0.09327177,-84.5736,7827.836,108.21754,1258.1078,-3.195463,943.84595,15.477996,394.0712,2.4342763,244.26555,4.6753855,201.83473,-5.641964,185.24693,3.7999358,156.94875,-3.6572196,146.60365,2.2130957,151.40265,-0.9445044,124.900566,-0.5821842,109.187294,-2.0656147,81.94526,2.1553476,78.234,0.24933471,70.88306,0.15616393,84.8045,-6.1450014,68.72654,5.7386174,67.9862,-3.6079972,63.027,4.551767,66.31429,0.0038061091416496805,0.016114502135294053,0.24134045296935885,808.9406,-0.0030797636,18.119467,489.54973567544147,0.026481477888255115,49,Jr. Monalisa - Vasuki Vaibhav.mp3
0.41227916,0.045049407,0.06774524417085913,0.0028001396967162694,103.359375,1744.9611985598392,1317873.7053236878,2011.8825814758577,672273.0856694863,3644.0779647590944,5951316.710075392,0.012221971,0.00068538403,0.48908237,0.096145,-66.81859,7144.8887,120.71769,2837.4663,5.5164156,1291.7045,21.453878,539.47516,8.252361,420.5134,15.716446,222.19301,-5.8734965,210.46773,11.15863,111.76819,-2.959186,119.20039,6.701331,96.29345,0.2955676,93.89078,3.80611,77.75604,-7.605478,97.72976,0.33744705,93.67798,-1.9454421,57.82581,1.3550644,68.51825,0.7355162,184.00682,0.21494427,91.54707,-3.82015,52.848213,-3.6084392,72.20658,-0.005930907377545347,0.008681188424887949,3.645325201661295,860.045,-0.0080319345,15.232612,719.4111351343606,0.03081859507366453,51,Vtornik Money Rain - Zayan.mp3
0.34914172,0.016156754,0.09046732899574303,0.0039259359197826174,129.19921875,2409.4698295018693,705703.9206212895,2638.3766336962362,139401.54187914194,5316.542851592734,2620314.7001879546,0.020137535,0.0007453602,0.43763515,0.08978423,-13.515241,2629.439,87.339676,707.5919,3.6318166,338.77487,19.335518,221.82726,-0.89015865,196.38382,3.8051379,156.71498,8.342455,169.7987,8.188971,64.22718,-4.1039753,119.2653,7.375244,120.99873,-4.3293433,115.78315,3.5825362,91.83216,2.1732488,65.3182,7.1431456,92.87903,0.27923042,92.34445,7.9876027,105.87118,0.2419878,76.33413,2.100321,67.62529,-0.6940194,81.68111,0.63308704,49.70996,0.009556117543159463,0.005567813346694817,0.013234735216799768,975.1428,0.00081902806,9.940675,841.246433228595,0.03132354402922005,59,Nachna Ve - Hommie Dilliwala.mp3
0.2605381,0.0047905417,0.06822256554760062,0.0010921749486929525,117.45383522727273,2070.1740452701993,454032.791727694,2445.1885341651814,314592.6776660351,4498.464465067483,2733996.2659056038,0.010980259,0.0003061562,0.42561483,0.079106174,-70.15775,7225.48,94.43794,614.6557,-2.1610763,859.8851,24.808178,478.5616,7.2933083,240.93617,9.824853,226.91502,20.673153,243.89969,-1.4834236,224.89252,15.204641,162.58566,10.352589,90.16716,-2.0681844,78.495514,7.360216,111.41142,3.2154891,88.52005,8.665706,58.37895,-1.7907503,50.174118,4.0562677,57.961422,0.6784863,70.353516,1.2737665,92.476105,-0.013398161,60.949757,3.8302863,107.51726,0.01361156321962446,0.022565205413193973,0.5803788001914826,813.8399,-0.0073496075,10.701632,539.3592149005383,0.033796293125834424,59,Shower - Becky G.mp3
0.39296326,0.01836835,0.08733507280379257,0.00453506525027497,117.45383522727273,2591.697017891004,921148.3996000952,2683.3011048681738,131954.37280364125,5611.107737065838,2654423.3921299647,0.01713667,0.00075790886,0.5076009,0.077889726,-20.721155,2219.2578,76.35718,900.66583,16.04641,369.91153,37.182552,358.6798,2.0602121,242.1786,15.558098,159.96086,4.7471495,116.001236,12.360961,100.7009,-2.7144778,88.07788,14.083496,101.76617,2.2880125,72.301895,11.813618,49.888584,1.735774,58.433884,12.451107,48.31848,0.27460235,49.77252,7.564794,43.50602,-2.1298907,48.14123,4.8216653,46.435806,-1.4431379,41.68337,5.444563,40.85548,0.019217361041895645,0.01283029797605338,0.00012858581223783525,1091.6193,0.008818835,9.645102,1018.4417101510668,0.038861638072067585,53,Timeless (The Weeknd only) - The Weeknd & Playboi Carti.mp3
